Date,Fully vaccinated,Partial vaccinated,,,,,,
2/21/2021,0,20,,,,,,
2/22/2021,0,1320,,,,,,
2/23/2021,0,1320,,,,,,
2/24/2021,0,3220,,,,,,
2/25/2021,0,5500,,,,,,
2/26/2021,0,7500,,,,,,
2/27/2021,0,7500,,,,,,
2/28/2021,0,7500,,,,,,
3/1/2021,0,10339,,,,,,
3/2/2021,0,12424,,,,,,
3/3/2021,0,15000,,,,,,
3/4/2021,0,16805,,,,,,
3/5/2021,0,19027,,,,,,
3/6/2021,0,19027,,,,,,
3/7/2021,0,19027,,,,,,
3/8/2021,0,21763,,,,,,
3/9/2021,0,23923,,,,,,
3/10/2021,0,27000,,,,,,
3/11/2021,0,31313,,,,,,
3/12/2021,0,31313,,,,,,
3/13/2021,0,36820,,,,,,
3/14/2021,0,36820,,,,,,
3/15/2021,0,37553,,,,,,
3/16/2021,0,37553,,,,,,
3/17/2021,0,46820,,,,,,
3/18/2021,0,51607,,,,,,
3/19/2021,0,51607,,,,,,
3/20/2021,0,51607,,,,,,
3/21/2021,0,51607,,,,,,
3/22/2021,0,64650,,,,,,
3/23/2021,0,72943,,,,,,
3/24/2021,0,72943,,,,,,
3/25/2021,0,72943,,,,,,
3/26/2021,0,89196,,,,,,
3/27/2021,0,89196,,,,,,
3/28/2021,0,89196,,,,,,
3/29/2021,0,96273,,,,,,
3/30/2021,0,96273,,,,,,
3/31/2021,0,100000,,,,,,
4/1/2021,0,117389,,,,,,
4/2/2021,0,124345,,,,,,
4/3/2021,0,125195,,,,,,
4/4/2021,0,126494,,,,,,
4/5/2021,0,126526,,,,,,
4/6/2021,0,127339,,,,,,
4/7/2021,0,134323,,,,,,
4/8/2021,0,140551,,,,,,
4/9/2021,0,316187,,,,,,
4/10/2021,0,335270,,,,,,
4/11/2021,0,342315,,,,,,
4/12/2021,0,344318,,,,,,
4/13/2021,0,348677,,,,,,
4/14/2021,0,382687,,,,,,
4/15/2021,0,403138,,,,,,
4/16/2021,0,422480,,,,,,
4/17/2021,0,440396,,,,,,
4/18/2021,0,447239,,,,,,
4/19/2021,0,468824,,,,,,
4/20/2021,0,488757,,,,,,
4/21/2021,0,509499,,,,,,
4/22/2021,0,530891,,,,,,
4/23/2021,0,550342,,,,,,
4/24/2021,0,568181,,,,,,
4/25/2021,0,573892,,,,,,
4/26/2021,0,574417,,,,,,
4/27/2021,0,588050,,,,,,
4/28/2021,0,604810,,,,,,
4/29/2021,0,630218,,,,,,
4/30/2021,0,649898,,,,,,
5/1/2021,0,667243,,,,,,
5/2/2021,0,672362,,,,,,
5/3/2021,0,673278,,,,,,
5/4/2021,0,691136,,,,,,
5/5/2021,0,713270,,,,,,
5/6/2021,0,735153,,,,,,
5/7/2021,0,757224,,,,,,
5/8/2021,0,778812,,,,,,
5/9/2021,0,786154,,,,,,
5/10/2021,0,787274,,,,,,
5/11/2021,0,808251,,,,,,
5/12/2021,0,833095,,,,,,
5/13/2021,0,859246,,,,,,
5/14/2021,0,889531,,,,,,
5/15/2021,0,913632,,,,,,
5/16/2021,0,926242,,,,,,
5/17/2021,0,927464,,,,,,
5/18/2021,125810,829998,,,,,,
5/19/2021,125810,860896,,,,,,
5/20/2021,125810,892668,,,,,,
5/21/2021,125810,926723,,,,,,
5/22/2021,125810,958617,,,,,,
5/23/2021,125810,971705,,,,,,
5/24/2021,125810,973480,,,,,,
5/25/2021,145341,983461,,,,,,
5/26/2021,145341,1017427,,,,,,
5/27/2021,145341,1053344,,,,,,
5/28/2021,145341,1090914,,,,,,
5/29/2021,145341,1126666,,,,,,
5/30/2021,145341,1142634,,,,,,
5/31/2021,145341,1144623,,,,,,
6/1/2021,167075,1158363,,,,,,
6/2/2021,167075,1196142,,,,,,
6/3/2021,167075,1236520,,,,,,
6/4/2021,167075,1278242,,,,,,
6/5/2021,167075,1314216,,,,,,
6/6/2021,167075,1330988,,,,,,
6/7/2021,204595,1296203,,,,,,
6/8/2021,204595,1332479,,,,,,
6/9/2021,204595,1371963,,,,,,
6/10/2021,204595,1409880,,,,,,
6/11/2021,204595,1451184,,,,,,
6/12/2021,204595,1487513,,,,,,
6/13/2021,204595,1500511,,,,,,
6/14/2021,204595,1501716,,,,,,
6/15/2021,259437,1460897,,,,,,
6/16/2021,259437,1501331,,,,,,
6/17/2021,259437,1540788,,,,,,
6/18/2021,259437,1582579,,,,,,
6/19/2021,259437,1620075,,,,,,
6/20/2021,259437,1637352,,,,,,
6/21/2021,357767,1541371,,,,,,
6/22/2021,357767,1578606,,,,,,
6/23/2021,357767,1617895,,,,,,
6/24/2021,357767,1657622,,,,,,
6/25/2021,357767,1700628,,,,,,
6/26/2021,357767,1736508,,,,,,
6/27/2021,357767,1756756,,,,,,
6/28/2021,463624,1663551,,,,,,
6/29/2021,463624,1701646,,,,,,
